Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
carlsbad.branch.h.sv.schwab,2023-08-01,=EMAIL=,3,0.00,2023-08-02 21:51,2023-08-01 - 2023-08-01
executiveservices.sv.schwab,2023-08-01,=EMAIL=,1,0.00,2023-08-02 21:51,2023-08-01 - 2023-08-01
fax.advice.schwab,2023-08-01,=EMAIL=,114,0.06,2023-08-02 21:51,2023-08-01 - 2023-08-01
fax.advice.schwab,2023-08-01,MAILINGLIST,12,0.01,2023-08-02 21:51,2023-08-01 - 2023-08-01
fax.branch.schwab,2023-08-01,=EMAIL=,501,0.26,2023-08-02 21:51,2023-08-01 - 2023-08-01
fax.branch.schwab,2023-08-01,MAILINGLIST,36,0.02,2023-08-02 21:51,2023-08-01 - 2023-08-01
misc.mailouts.schwab,2023-08-01,=EMAIL=,2673828,140659.22,2023-08-02 21:51,2023-08-01 - 2023-08-01
misc.mailouts.schwab,2023-08-01,MAILINGLIST,619687,905.51,2023-08-02 21:51,2023-08-01 - 2023-08-01
rrrpsclepsd.sv.schwab,2023-08-01,=EMAIL=,1,0.00,2023-08-02 21:51,2023-08-01 - 2023-08-01
schwab.dom.repository,2023-08-01,=EMAIL=,927889,33554.96,2023-08-02 21:51,2023-08-01 - 2023-08-01
sps.external.email.sv.schwab,2023-08-01,=EMAIL=,1,0.00,2023-08-02 21:51,2023-08-01 - 2023-08-01
carlsbad.branch.h.sv.schwab,2023-07-31,=EMAIL=,1,0.00,2023-08-02 21:52,2023-07-31 - 2023-07-31
fax.advice.schwab,2023-07-31,=EMAIL=,31,0.02,2023-08-02 21:52,2023-07-31 - 2023-07-31
fax.advice.schwab,2023-07-31,MAILINGLIST,36,0.02,2023-08-02 21:52,2023-07-31 - 2023-07-31
fax.branch.schwab,2023-07-31,=EMAIL=,167,0.09,2023-08-02 21:52,2023-07-31 - 2023-07-31
fax.branch.schwab,2023-07-31,MAILINGLIST,96,0.04,2023-08-02 21:52,2023-07-31 - 2023-07-31
misc.mailouts.schwab,2023-07-31,=EMAIL=,1234515,77793.53,2023-08-02 21:52,2023-07-31 - 2023-07-31
misc.mailouts.schwab,2023-07-31,MAILINGLIST,2347173,3416.35,2023-08-02 21:52,2023-07-31 - 2023-07-31
schwab.dom.repository,2023-07-31,=EMAIL=,921310,29328.57,2023-08-02 21:52,2023-07-31 - 2023-07-31
carlsbad.branch.h.sv.schwab,2023-07-30,MAILINGLIST,1,0.00,2023-08-02 21:53,2023-07-30 - 2023-07-30
fax.advice.schwab,2023-07-30,=EMAIL=,3,0.00,2023-08-02 21:53,2023-07-30 - 2023-07-30
fax.advice.schwab,2023-07-30,MAILINGLIST,28,0.01,2023-08-02 21:53,2023-07-30 - 2023-07-30
fax.branch.schwab,2023-07-30,=EMAIL=,9,0.00,2023-08-02 21:53,2023-07-30 - 2023-07-30
fax.branch.schwab,2023-07-30,MAILINGLIST,118,0.05,2023-08-02 21:53,2023-07-30 - 2023-07-30
misc.mailouts.schwab,2023-07-30,=EMAIL=,219398,5876.84,2023-08-02 21:53,2023-07-30 - 2023-07-30
misc.mailouts.schwab,2023-07-30,MAILINGLIST,2677456,3905.07,2023-08-02 21:53,2023-07-30 - 2023-07-30
schwab.dom.repository,2023-07-30,=EMAIL=,31807,1063.47,2023-08-02 21:53,2023-07-30 - 2023-07-30
executiveservices.sv.schwab,2023-07-29,MAILINGLIST,1,0.00,2023-08-02 21:54,2023-07-29 - 2023-07-29
fax.advice.schwab,2023-07-29,=EMAIL=,33,0.02,2023-08-02 21:54,2023-07-29 - 2023-07-29
